district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,127,114,13,1,0,0,0,0,
Kollam,177,167,10,6,0,0,0,0,
Pathanamthitta,892,860,32,17,9,0,0,9,
Idukki,53,53,0,0,0,0,0,0,
Kottayam,243,231,12,2,2,0,0,2,
Alappuzha,128,111,17,1,0,1,0,1,
Ernakulam,304,280,24,8,3,0,0,3,
Thrissur,613,535,78,12,0,1,0,1,
Palakkad,102,77,25,4,0,0,0,0,
Malappuram,93,32,61,21,0,0,0,0,
Kozhikode,301,291,10,5,0,0,0,0,
Wayanad,28,27,1,0,0,0,0,0,
Kannur,128,121,7,3,0,0,0,0,
Kasaragod,124,121,3,3,0,1,0,1,
Total,3313,3020,293,83,14,3,0,17,0
