district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,226,208,18,13,3,0,0,3,3
Kollam,324,312,12,3,0,0,0,0,
Pathanamthitta,932,903,29,5,9,0,0,9,
Idukki,52,52,0,0,0,0,0,0,
Kottayam,736,725,11,2,2,0,0,2,
Alappuzha,265,252,13,7,0,1,0,1,
Ernakulam,437,407,30,1,3,0,0,3,
Thrissur,1150,1078,72,5,1,1,0,2,
Palakkad,146,124,22,7,0,0,0,0,
Malappuram,165,135,30,1,0,0,0,0,
Kozhikode,592,585,7,4,0,0,0,0,
Wayanad,57,57,0,0,0,0,0,0,
Kannur,181,158,23,16,1,0,0,1,
Kasaragod,205,195,10,5,0,1,0,1,
Total,5468,5191,277,69,19,3,0,22,3
