district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,92,76,16,6,0,0,0,0,
Kollam,85,75,10,4,0,0,0,0,
Pathanamthitta,60,45,15,5,9,0,0,9,4
Idukki,46,45,1,0,0,0,0,0,
Kottayam,92,82,10,6,2,0,0,2,2
Alappuzha,98,78,20,14,0,1,0,1,
Ernakulam,248,225,23,6,3,0,0,3,3
Thrissur,277,209,68,35,0,1,0,1,
Palakkad,73,48,25,11,0,0,0,0,
Malappuram,75,30,45,21,0,0,0,0,
Kozhikode,133,118,15,10,0,0,0,0,
Wayanad,23,22,1,0,0,0,0,0,
Kannur,88,79,9,2,0,0,0,0,
Kasaragod,105,104,1,0,0,1,0,1,
Total,1495,1236,259,120,14,3,0,17,8
